
Gurobi 9.5.2 (win64) logging started Mon Mar 27 21:58:14 2023

Set parameter LogFile to value "2023-03-27_20hr-25min-09sec/Nodes30_Arcs35_LocNodes22/Formulation-1Instance-4.log"
Set parameter TimeLimit to value 600
Set parameter IntFeasTol to value 1e-09
Set parameter DualReductions to value 0
Set parameter NonConvex to value 2
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 118 rows, 204 columns and 418 nonzeros
Model fingerprint: 0xe320866f
Model has 22 quadratic objective terms
Model has 65 SOS constraints
Variable types: 182 continuous, 22 integer (22 binary)
Coefficient statistics:
  Matrix range     [3e-02, 2e+02]
  Objective range  [3e+00, 2e+02]
  QObjective range [2e+00, 2e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e-01, 2e+03]
Presolve removed 1 rows and 1 columns
Presolve time: 0.00s
Presolved: 162 rows, 227 columns, 532 nonzeros
Presolved model has 65 SOS constraint(s)
Presolved model has 22 bilinear constraint(s)
Variable types: 205 continuous, 22 integer (22 binary)

Root relaxation: unbounded, 109 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 1557794  4501 infeasible   49      -11183.837          -      -  14.4  495s
 1573835  4436  postponed   43      -11183.837          -      -  14.4  500s
 1589577  4467  postponed   47      -11183.837          -      -  14.4  505s
 1605783  4647  postponed   46      -11183.837          -      -  14.3  510s
 1623633  4623 infeasible   49      -11183.837          -      -  14.3  515s
 1640683  4624  postponed   46      -11183.837          -      -  14.3  520s
 1658084  4492 infeasible   48      -11183.837          -      -  14.3  525s
 1673855  4424 infeasible   49      -11183.837          -      -  14.3  530s
 1689253  4489  postponed   44      -11183.837          -      -  14.3  535s
 1706176  4401 infeasible   48      -11183.837          -      -  14.3  540s
 1721605  4322  postponed   45      -11183.837          -      -  14.4  545s
 1741307  4312  postponed   41      -11183.837          -      -  14.4  550s
 1758664  4344  postponed   45      -11183.837          -      -  14.4  555s
 1773584  4280  postponed   44      -11183.837          -      -  14.4  560s
 1788670  4187 infeasible   49      -11183.837          -      -  14.4  565s
 1804602  4107 infeasible   44      -11183.837          -      -  14.4  570s
 1819762  4102  postponed   48      -11183.837          -      -  14.5  575s
 1840255  4144 infeasible   49      -11183.837          -      -  14.5  580s
 1856199  4010  postponed   44      -11183.837          -      -  14.5  585s
 1871798  3990 infeasible   49      -11183.837          -      -  14.5  590s
 1887404  4028  postponed   48      -11183.837          -      -  14.5  595s
